,hero_id,hero_name,hero_gender,hero_degree_centrality,hero_eigenvector_centrality
119,119,UNICORN II/,Male,0.0010894941634241246,0.0004419903035385429
120,120,BLUE STREAK/,Male,0.004980544747081712,0.006038293883113089
121,121,PLUTONIUM,,0.005914396887159534,0.004388754356010785
122,122,"SINGER, MERLE",Male,0.00046692607003891054,2.3542895260427833e-05
123,123,"STARK, HOWARD | TIME",Male,0.0038910505836575876,0.003653634768545505
124,124,BUMPKIN,Male,0.0032684824902723736,0.00180091685008889
125,125,MANAT,Male,0.0031128404669260703,0.001593213688116357
126,126,ELAMRON,Male,0.0015564202334630351,0.0008698076157597284
127,127,"BLACK, RACHEL",Female,0.0020233463035019454,0.0009399805180032208
128,128,TAI,Male,0.0034241245136186773,0.002999191148437265
129,129,FORGOTTEN ONE/GILGAM,Male,0.029105058365758756,0.024385742009502148
130,130,MAYHEM/DET. BRIGID O,Male,0.00840466926070039,0.006486574142977034
131,131,LANDSCAPE/BRETT,Male,0.0020233463035019454,0.0015584775973237442
132,132,"LOPEZ, SALMA",Female,0.0014007782101167316,0.0007212931042640913
133,133,PSYNAPSE,Male,0.010272373540856031,0.01172279491757986
134,134,AGED GENGHIS,Male,0.0038910505836575876,0.0019988455450484764
135,135,TONGAH,Male,0.006536964980544747,0.006718476674670498
136,136,"EL GIBAR, ACHMED",Male,0.0028015564202334632,0.0035700380684702306
137,137,GROTESK,,0.007782101167315175,0.00982978091176428
138,138,KALUU,Male,0.0010894941634241246,0.0010666399785426383
139,139,AGAMOTTO,Male,0.0062256809338521405,0.003619253177948062
140,140,GOLEM III,Male,0.0009338521400778211,0.000621169890205473
141,141,"GRIMM, SUE STORM EAR",Male,0.0020233463035019454,0.0027294165638180956
142,142,"LARROCA, SALVADORE",Male,0.003579766536964981,0.0054159028363062805
143,143,"STRONG, SUSAN",Female,0.002490272373540856,0.0015889894047647437
144,144,VENUS/APHRODITE/VICT,Female,0.009649805447470818,0.009187013303305857
145,145,NAVARRO,Male,0.000311284046692607,1.921377735737109e-05
146,146,CARGIL/JOANNA CARGIL,Female,0.030661478599221793,0.022193586263693645
147,147,"HARKER, QUINCY",Male,0.0020233463035019454,0.0008973107830770812
148,148,ANCIENT ONE,Male,0.012918287937743191,0.010624725764508637
149,149,TEN FOR,Male,0.013696498054474709,0.01635532440876378
150,150,RHINO,Male,0.04840466926070039,0.035390722443068526
151,151,"FRANKLIN, JEREMY",Male,0.0028015564202334632,0.0015905019699129397
152,152,PROGENITOR,Male,0.001245136186770428,0.0009592669016922689
153,153,SCRIER II/S. CRIER,Male,0.0031128404669260703,0.0013416107149070609
154,154,"FORTHWARD, KENT",Male,0.002334630350194553,0.0020963420592350836
155,155,QNAX,Male,0.0031128404669260703,0.0021986740454652165
156,156,"FOX, PHIL",Male,0.0007782101167315176,0.0003176526930668305
157,157,"BIRD, TUESDAY",Male,0.00046692607003891054,0.0009378420034996896
158,158,"ROMMEL, EDWIN ROMULU",Male,0.00575875486381323,0.002930466524901524
159,159,KIRIN,Male,0.0018677042801556422,0.0018455785334540499
160,160,"PEREGRINE, LE/FRANCK",Female,0.02132295719844358,0.028045943873744893
161,161,"DABOIA, RUSSELL",Male,0.0034241245136186773,0.0024359252656288573
162,162,"PARKER, MAY III",Male,0.0037354085603112843,0.002417057497319024
163,163,VINCENTE/,Male,0.002957198443579767,0.0013693377711026242
164,164,ZOM,Male,0.0017120622568093386,0.0009885811303593228
165,165,"DE LA FONTAINE, CONT",Female,0.040622568093385214,0.03298090847462811
166,166,PROMETHEUS [OLYMPIAN,Male,0.004202334630350195,0.0037005893039897693
167,167,"RICHARDS, FRANKLIN B",Male,0.09883268482490273,0.0659372766809391
168,168,"FRASER, DET. KATE",Female,0.0014007782101167316,0.0005403234057562106
169,169,LOCKHART,Female,0.001245136186770428,0.0010947092151731234
170,170,SHOTGUN II/WALKER,Female,0.0010894941634241246,0.0003322575987187713
171,171,"P'KRRD, CAPTAIN",Male,0.002334630350194553,0.0028661823360670254
172,172,"KLEIN, CAMERON",Male,0.002334630350194553,0.0016479629273081166
173,173,SUNSPYRE/LEYU YOSHID,Female,0.002334630350194553,0.0030552659734440907
174,174,KARKAS | MUTANT X-VE,Female,0.004202334630350195,0.00033268149355761224
